Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
5/26/2008,BAJAJFINSV,EQ,2101.05,600,619,501,505.1,509.1,548.85,3145446,1.72637E+14,,908264,0.2888
5/27/2008,BAJAJFINSV,EQ,509.1,505,610.95,491.1,564,554.65,572.15,4349144,2.48837E+14,,677627,0.1558
5/28/2008,BAJAJFINSV,EQ,554.65,564,665.6,564,643,640.95,618.37,4588759,2.83753E+14,,774895,0.1689
5/29/2008,BAJAJFINSV,EQ,640.95,656.65,703,608,634.5,632.4,659.6,4522302,2.98292E+14,,1006161,0.2225
5/30/2008,BAJAJFINSV,EQ,632.4,642.4,668,588.3,647,644,636.41,3057669,1.94593E+14,,462832,0.1514
6/2/2008,BAJAJFINSV,EQ,644,650,699,622,687,686.95,670.51,2247399,1.50691E+14,,351112,0.1562
6/3/2008,BAJAJFINSV,EQ,686.95,672,689.8,632.55,670.55,672.05,665.87,2299383,1.53108E+14,,391772,0.1704
6/4/2008,BAJAJFINSV,EQ,672.05,674,674,566.6,595,598.95,602.36,2832725,1.70632E+14,,735765,0.2597
6/5/2008,BAJAJFINSV,EQ,598.95,603,639.8,572.3,631.5,631.85,610.65,1344712,8.21152E+13,,167819,0.1248
6/6/2008,BAJAJFINSV,EQ,631.85,639.25,642.9,608.05,635,630.9,628.44,794722,4.99433E+13,,65497,0.0824
6/9/2008,BAJAJFINSV,EQ,630.9,620,648,580,645,629.9,624.95,758393,4.73958E+13,,126531,0.1668
6/10/2008,BAJAJFINSV,EQ,629.9,618,675,618,672,669.25,653.65,939180,6.13897E+13,,154239,0.1642
6/11/2008,BAJAJFINSV,EQ,669.25,672,682,641.1,641.1,653.5,662.71,750714,4.97503E+13,,225104,0.2999
6/12/2008,BAJAJFINSV,EQ,653.5,629,638.45,601,602,605.9,614.22,414320,2.54485E+13,,84678,0.2044
6/13/2008,BAJAJFINSV,EQ,605.9,607,624.5,572.75,577,580.8,601,458514,2.75566E+13,,80790,0.1762
6/16/2008,BAJAJFINSV,EQ,580.8,595,618,587.25,613.1,614.05,606.17,496439,3.00928E+13,,150448,0.3031
6/17/2008,BAJAJFINSV,EQ,614.05,610,626,605.1,610,611.05,614.08,248850,1.52814E+13,,41597,0.1672
6/18/2008,BAJAJFINSV,EQ,611.05,615,617.2,585.1,595,591.95,605.3,142386,8.6186E+12,,26714,0.1876
6/19/2008,BAJAJFINSV,EQ,591.95,580,625,578.05,613,611.85,614.38,468038,2.87554E+13,,175475,0.3749
6/20/2008,BAJAJFINSV,EQ,611.85,603,618.25,532,569,554.95,573.49,289352,1.65942E+13,,60345,0.2086
6/23/2008,BAJAJFINSV,EQ,554.95,551,575.9,550,566.55,565.4,561.83,514992,2.89338E+13,,255681,0.4965
6/24/2008,BAJAJFINSV,EQ,565.4,565.5,572,537,547.1,549.15,551.73,294467,1.62466E+13,,92318,0.3135
6/25/2008,BAJAJFINSV,EQ,549.15,542,632.5,540,580,577.1,564.55,124264,7.01531E+12,,31283,0.2517
6/26/2008,BAJAJFINSV,EQ,577.1,578,600,578,588,590.25,590.89,134458,7.94501E+12,,43421,0.3229
6/27/2008,BAJAJFINSV,EQ,590.25,585,585,550,565,562,563.12,170967,9.62751E+12,,88024,0.5149
6/30/2008,BAJAJFINSV,EQ,562,565,570,520,523,537.85,553,105379,5.82743E+12,,65286,0.6195
7/1/2008,BAJAJFINSV,EQ,537.85,535,536.9,502.65,526.5,517.75,518.83,86030,4.46349E+12,,56513,0.6569
7/2/2008,BAJAJFINSV,EQ,517.75,511,530,495,518,522.55,506.03,225316,1.14017E+13,,171865,0.7628
7/3/2008,BAJAJFINSV,EQ,522.55,495.2,513.85,446,455,478.5,499.88,291484,1.45706E+13,,235143,0.8067
7/4/2008,BAJAJFINSV,EQ,478.5,471.35,500,447,499.05,499.7,485.69,98707,4.79409E+12,,44775,0.4536
7/7/2008,BAJAJFINSV,EQ,499.7,494.65,544,494.65,518,521.8,510.16,422193,2.15385E+13,,295413,0.6997
7/8/2008,BAJAJFINSV,EQ,521.8,475.8,518,475.8,513.1,510.95,505.94,236281,1.19543E+13,,141146,0.5974
7/9/2008,BAJAJFINSV,EQ,510.95,550,550,512,517.9,518.05,530.08,91041,4.82592E+12,,39067,0.4291
7/10/2008,BAJAJFINSV,EQ,518.05,515,519.85,500,510,506.8,509.09,83723,4.26224E+12,,28322,0.3383
7/11/2008,BAJAJFINSV,EQ,506.8,519.9,520,466.65,477,478.95,498.3,45764,2.28041E+12,,14926,0.3262
7/14/2008,BAJAJFINSV,EQ,478.95,498,498,455,458,461.9,470.9,79049,3.72243E+12,,44790,0.5666
7/15/2008,BAJAJFINSV,EQ,461.9,447,463,436.05,436.05,448.5,456.09,52550,2.39674E+12,,36295,0.6907
7/16/2008,BAJAJFINSV,EQ,448.5,440,451.95,417.5,424.1,424.95,425.44,269364,1.14597E+13,,223713,0.8305
7/17/2008,BAJAJFINSV,EQ,424.95,439,439,415.1,421,421.75,420.61,391481,1.6466E+13,,340617,0.8701
7/18/2008,BAJAJFINSV,EQ,421.75,405.35,428,388.05,406.65,410.7,418.18,166930,6.98075E+12,,122033,0.731
7/21/2008,BAJAJFINSV,EQ,410.7,411,421.6,408.1,411,410.7,414.21,109056,4.51721E+12,,92146,0.8449
7/22/2008,BAJAJFINSV,EQ,410.7,402.35,424.95,402.35,420.9,420,421.55,125018,5.27017E+12,,103979,0.8317
7/23/2008,BAJAJFINSV,EQ,420,433,449.95,428.05,437.15,437.85,435.6,524250,2.28361E+13,,384104,0.7327
7/24/2008,BAJAJFINSV,EQ,437.85,439,480.5,439,455,451.4,451.69,146863,6.63362E+12,,73198,0.4984
7/25/2008,BAJAJFINSV,EQ,451.4,436,455,436,446,446.25,447.05,39059,1.74612E+12,,25398,0.6502
7/28/2008,BAJAJFINSV,EQ,446.25,437,452,432.05,435,436.05,440.73,15178,6.68936E+11,,5732,0.3777
7/29/2008,BAJAJFINSV,EQ,436.05,435,435,426,430,429.85,429.75,53978,2.31972E+12,,47316,0.8766
7/30/2008,BAJAJFINSV,EQ,429.85,408.4,442.5,408.4,435.5,437.55,437.42,14333,6.26955E+11,,6514,0.4545
7/31/2008,BAJAJFINSV,EQ,437.55,429,447,429,435,442.65,441.42,13873,6.12378E+11,,5332,0.3843
8/1/2008,BAJAJFINSV,EQ,442.65,430,449.9,423,442,443,442.42,23610,1.04455E+12,,14219,0.6022
8/4/2008,BAJAJFINSV,EQ,443,431.25,454.95,431.25,454.95,452.65,448.67,12186,5.46743E+11,,8197,0.6727
8/5/2008,BAJAJFINSV,EQ,452.65,452.65,475,438,467,467.9,464.28,15674,7.2772E+11,,9368,0.5977
8/6/2008,BAJAJFINSV,EQ,467.9,465,497,465,482,482.2,484.09,46278,2.24026E+12,,32695,0.7065
8/7/2008,BAJAJFINSV,EQ,482.2,495,535,470.15,522.55,515.3,502.16,127300,6.39245E+12,,67942,0.5337
8/8/2008,BAJAJFINSV,EQ,515.3,510,530,505,520,517.5,516.07,40717,2.10127E+12,,16574,0.4071
8/11/2008,BAJAJFINSV,EQ,517.5,535,592,528,540,540.5,557.45,235630,1.31352E+13,,109006,0.4626
8/12/2008,BAJAJFINSV,EQ,540.5,550,550,512.5,528.4,523.7,531.13,54384,2.88849E+12,,30628,0.5632
